TA-LIB Pattern name,Pattern
CDL2CROWS ,Two Crows
CDL3BLACKCROWS ,Three Black Crows
CDL3INSIDE ,Three Inside Up/Down
CDL3LINESTRIKE ,Three Line Strikes
CDL3OUTSIDE ,Three Outside Up/Down
CDL3STARSINSOUTH ,Three Stars In The South
CDL3WHITESOLDIERS ,Three Advancing White Soldiers
CDLABANDONEDBABY ,Abandoned Baby
CDLADVANCEBLOCK ,Advance Block
CDLBELTHOLD ,Belt hold
CDLBREAKAWAY ,Breakaway
CDLCLOSINGMARUBOZU ,Closing Marubozu
CDLCONCEALBABYSWALL ,Concealing Baby Swallow
CDLCOUNTERATTACK ,Counterattack
CDLDARKCLOUDCOVER ,Dark Cloud Cover
CDLDOJI ,Doji
CDLDOJISTAR ,Doji Star
CDLDRAGONFLYDOJI ,Dragonfly Doji
CDLENGULFING ,Engulfing Pattern
CDLEVENINGDOJISTAR ,Evening Doji Star
CDLEVENINGSTAR ,Evening Star
CDLGAPSIDESIDEWHITE ,Up/Down Gap Side Side White
CDLGRAVESTONEDOJI ,Gravestone Doji
CDLHAMMER ,Hammer
CDLHANGINGMAN ,Hanging Man
CDLHARAMI ,Harami Pattern
CDLHARAMICROSS ,Harami Cross Pattern
CDLHIGHWAVE ,High
CDLHIKKAKE ,Hikkake Pattern
CDLHIKKAKEMOD ,Modified Hikkake Pattern
CDLHOMINGPIGEON ,Homing Pigeon
CDLIDENTICAL3CROWS ,Identical Three Crows
CDLINNECK ,In Neck
CDLINVERTEDHAMMER ,Inverted Hammer
CDLKICKING ,Kicking
CDLKICKINGBYLENGTH ,Kicking by length
CDLLADDERBOTTOM ,Ladder Bottom
CDLLONGLEGGEDDOJI ,Long Legged Doji
CDLLONGLINE ,Long Line Candle
CDLMARUBOZU ,Marubozu
CDLMATCHINGLOW ,Matching Low
CDLMATHOLD ,Mat Hold
CDLMORNINGDOJISTAR ,Morning Doji Star
CDLMORNINGSTAR ,Morning Star
CDLONNECK ,On Neck
CDLPIERCING ,Piercing Pattern
CDLRICKSHAWMAN ,Rickshaw Man
CDLRISEFALL3METHODS ,Rising/Falling Three Methods
CDLSEPARATINGLINES ,Separating Lines
CDLSHOOTINGSTAR ,Shooting Star
CDLSHORTLINE ,Short Line Candle
CDLSPINNINGTOP ,Spinning Top
CDLSTALLEDPATTERN ,Stalled Pattern
CDLSTICKSANDWICH ,Stick Sandwich
CDLTAKURI ,Takuri (Dragonfly Doji with very long lower shadow)
CDLTASUKIGAP ,Tasuki Gap
CDLTHRUSTING ,Thrusting Pattern
CDLTRISTAR ,Tristar Pattern
CDLUNIQUE3RIVER ,Unique 3 River
CDLXSIDEGAP3METHODS ,Upside Gap Two Crows
CDLXSIDEGAP3METHODS ,Upside/Downside Gap Three Methods